677,0,8,23.168,1,29,5,26.981,2.07,33.6,0,0,-0.038
746,0,9,10.0897,1,59,9,0.785,2.28,59.89,0,0,0.38
765,0,9,24.5399,0,45,44,49.158,3.88,23.28,0,0,1.013
1067,0,13,14.15,1,15,11,1.017,2.83,9.79,0,0,-0.19
1562,0,19,25.683,0,8,49,25.786,3.56,11.26,0,0,1.214
1599,0,20,1.9142,0,64,52,39.444,4.23,116.38,0,0,0.576
1645,0,20,35.8642,1,8,11,24.893,5.38,8.26,0,0,1.343
2021,0,25,39.202,0,77,15,18.126,2.82,133.78,0,0,0.618
2072,0,26,12.1162,0,43,40,47.674,3.93,42.51,0,0,0.175
2081,0,26,16.8674,0,42,18,18.439,2.4,42.14,0,0,1.083
2484,0,31,32.5608,0,62,57,29.108,4.36,23.35,0,0,-0.064
3092,0,39,19.5974,1,30,51,40.413,3.27,32.19,0,0,1.268
3179,0,40,30.3872,1,56,32,14.673,2.24,14.27,0,0,1.17
3419,0,43,35.2283,0,17,59,12.063,2.04,34.04,0,0,1.019
3760,0,48,17.3445,1,7,17,59.711,5.92,4.93,0,0,1.104
3881,0,49,48.8297,1,41,4,44.237,4.53,4.8,0,0,-0.136
4427,0,56,42.5011,1,60,43,0.299,2.15,5.32,0,0,-0.046
4436,0,56,45.0977,1,38,29,57.318,3.86,23.93,0,0,0.13
4577,0,58,36.3459,0,29,21,26.872,4.3,4.85,0,0,-0.154
4889,1,2,49.0866,1,31,48,15.612,5.5,7.87,0,0,-0.043
4906,1,2,56.6559,1,7,53,24.261,4.27,17.14,0,0,0.952
5165,1,6,5.1065,0,46,43,6.566,3.32,16.46,0,0,0.885
5348,1,8,23.0601,0,55,14,44.996,3.94,11.66,0,0,-0.12
5364,1,8,35.2637,0,10,10,54.941,3.46,27.73,0,0,1.161
5447,1,9,43.7976,1,35,37,14.99,2.07,16.36,0,0,1.576
5742,1,13,44.9352,1,24,35,1.553,4.67,8.64,0,0,1.047
6193,1,19,27.9779,1,27,15,50.713,4.74,10.49,0,0,0.032
6537,1,24,1.4512,0,8,10,57.913,3.6,28.48,0,0,1.065
6686,1,25,48.603,1,60,14,7.452,2.66,32.81,0,0,0.16
6867,1,28,21.9417,0,43,19,3.825,3.41,13.94,0,0,1.542
7007,1,30,10.943,1,6,8,38.159,4.84,9.05,0,0,1.372
7083,1,31,14.9815,0,49,4,23.077,3.93,22.15,0,0,0.972
7097,1,31,28.9939,1,15,20,44.992,3.62,11.09,0,0,0.974
7588,1,37,42.7517,0,57,14,11.976,0.45,22.68,0,0,-0.158
7884,1,41,25.9076,1,5,29,15.376,4.45,8.86,0,0,1.347
8102,1,44,5.1275,0,15,56,22.401,3.49,274.17,0,0,0.727
8198,1,45,23.5887,1,9,9,27.508,4.26,12.63,0,0,0.942
8645,1,51,27.6106,0,10,20,5.803,3.74,12.59,0,0,1.136
8796,1,53,4.8998,1,29,34,45.83,3.42,50.87,0,0,0.488
8832,1,53,31.7652,1,19,17,38.734,3.88,15.96,0,0,-0.047
8833,1,53,33.3366,1,3,11,14.922,4.61,17.11,0,0,0.928
8837,1,53,38.8197,0,46,18,8.807,4.39,10.15,0,0,1.597
8886,1,54,23.6835,1,63,40,12.529,3.35,7.38,0,0,-0.15
8903,1,54,38.3491,1,20,48,29.878,2.64,54.74,0,0,0.165
9007,1,55,56.8325,0,51,36,34.512,3.69,57.19,0,0,0.844
9236,1,58,45.8718,0,61,34,11.728,2.86,45.74,0,0,0.29
9487,2,2,2.8006,1,2,45,49.538,3.82,23.45,0,0,0.024
9640,2,3,53.9191,1,42,19,47.454,2.1,9.19,0,0,1.37
9884,2,7,10.2858,1,23,27,45.999,2.01,49.48,0,0,1.151
10064,2,9,32.5209,1,34,59,14.611,3,26.24,0,0,0.14
10324,2,13,0.011,1,8,50,48.308,4.36,9.01,0,0,0.878
